timestamp,employee_id,name,department,role,age,performance_score,job_satisfaction,promotion_status,attrition_risk,work_hours
2024-11-19 15:05:33,7405,Tyler Calhoun MD,Marketing,Developer,28,1.52,8.44,Not Promoted,High,59
2024-11-19 15:05:34,6315,Timothy Duran,Engineering,Developer,38,4.42,3.82,Promoted,Low,56
2024-11-19 15:05:35,4355,Selena Hubbard,Marketing,Manager,55,1.74,3.36,Promoted,Medium,39
2024-11-19 15:05:36,8578,Shawn Vincent,Sales,Manager,50,1.63,5.95,Not Promoted,Medium,36
2024-11-19 15:05:37,9952,Daniel Dunn,Operations,Developer,31,1.38,2.62,Not Promoted,High,54
2024-11-19 15:05:38,7021,Megan Blackburn,Marketing,Analyst,45,3.21,4.52,Promoted,Low,30
2024-11-19 15:05:39,1515,Matthew Steele,Operations,Executive,51,1.69,7.31,Promoted,Low,32
2024-11-19 15:05:40,6192,Katie Johnson,Marketing,Consultant,22,4.44,1.83,Not Promoted,High,46
2024-11-19 15:05:41,7875,Kiara Adams,Marketing,Consultant,43,4.42,9.02,Not Promoted,Medium,58
2024-11-19 15:05:42,3671,Jeffery Smith,Marketing,Manager,58,1.93,7.83,Not Promoted,High,50
2024-11-19 15:05:43,3326,Dalton Johnson,HR,Consultant,24,1.82,2.02,Promoted,High,39
2024-11-19 15:05:44,5022,Scott Nelson,Sales,Analyst,35,1.82,4.06,Promoted,Low,40
2024-11-19 15:05:45,7694,Jeremy Wall,Sales,Manager,55,2.73,9.15,Not Promoted,High,55
2024-11-19 15:05:46,4802,Teresa Gardner,Engineering,Consultant,56,2.28,4.25,Not Promoted,High,50
2024-11-19 15:05:47,6271,Andrew Carpenter,HR,Analyst,54,2.46,5.95,Promoted,Low,30
2024-11-19 15:05:48,1161,Shane Taylor,Operations,Manager,45,4.32,4.68,Promoted,High,48
2024-11-19 15:05:49,8473,Tyler Yang,Operations,Developer,22,2.24,9.27,Not Promoted,Medium,57
2024-11-19 15:05:50,8184,Shannon Washington,Operations,Analyst,57,4.52,3.32,Not Promoted,Medium,49
2024-11-19 15:05:51,7318,Dwayne Castro,Engineering,Analyst,33,2.32,6.23,Promoted,Medium,57
2024-11-19 15:05:52,8495,Amy Watson,Operations,Developer,41,4.96,8.17,Not Promoted,High,50
2024-11-19 15:05:53,3746,Jesse Henry,Engineering,Consultant,48,4.92,5.23,Promoted,Low,49
2024-11-19 15:05:54,9315,Shannon Williams,Sales,Consultant,24,1.29,2.08,Promoted,High,50
2024-11-19 15:05:55,6193,Denise Clarke,Sales,Consultant,23,3.72,9.06,Promoted,Low,56
2024-11-19 15:05:56,1759,Keith Matthews,Engineering,Developer,27,1.81,8.28,Not Promoted,Low,33
2024-11-19 15:05:57,7383,Ashley Snow,Engineering,Executive,26,1.38,1.91,Not Promoted,High,36
2024-11-19 15:05:58,4003,William Griffin,Engineering,Consultant,37,3.07,5.29,Not Promoted,High,53
2024-11-19 15:06:00,4671,Jason Sloan,HR,Executive,43,2.19,6.93,Promoted,High,52
2024-11-19 15:06:01,3705,Dawn Shelton,Engineering,Manager,57,3.38,2.42,Not Promoted,High,30
2024-11-19 15:06:02,4215,Dustin Huber,Operations,Manager,45,2.2,1.39,Not Promoted,High,47
2024-11-19 15:06:03,4781,Erika Bailey PhD,HR,Executive,59,3.94,8.38,Promoted,Medium,39
2024-11-19 15:06:04,8125,Amy Fritz,Marketing,Developer,38,2.27,8.62,Promoted,High,56
2024-11-19 15:06:05,2255,Bailey Fisher,Operations,Analyst,58,3.42,7.15,Not Promoted,Medium,58
2024-11-19 15:06:06,8508,Brandon Berg,Sales,Analyst,41,2.93,6.93,Not Promoted,High,38
2024-11-19 15:06:07,7749,Melissa Brooks,Engineering,Developer,46,1.18,6.69,Not Promoted,Low,33
2024-11-19 15:06:08,4363,Robin Webb,Sales,Executive,28,2.47,1.57,Promoted,High,41
2024-11-19 15:06:09,6995,Gerald Palmer,Engineering,Analyst,50,4.84,7.4,Promoted,Low,39
2024-11-19 15:06:10,7739,William Davenport,Sales,Manager,43,2.43,6.49,Not Promoted,Medium,36
2024-11-19 15:06:11,5942,Andrew Larsen,HR,Developer,40,1.34,7.46,Not Promoted,High,48
2024-11-19 15:06:12,9262,Cynthia Howard,HR,Analyst,44,2.47,7.67,Promoted,High,35
2024-11-19 15:06:13,5545,Cheyenne Wheeler,Sales,Consultant,52,1.72,4.99,Promoted,Medium,60
2024-11-19 15:06:14,1881,Lucas Smith,Sales,Consultant,50,3.11,4.63,Promoted,Medium,35
2024-11-19 15:06:15,1742,Thomas Harvey,Engineering,Manager,48,3.68,4.56,Promoted,Medium,45
2024-11-19 15:06:16,7475,Kenneth Griffin,Marketing,Consultant,60,1.07,6.64,Not Promoted,High,53
2024-11-19 15:06:17,9499,Theodore Rivas,HR,Manager,58,2.77,9.24,Not Promoted,Low,42
2024-11-19 15:06:18,7469,Stacey Jones,Sales,Executive,38,3.42,7.74,Promoted,Medium,33
2024-11-19 15:06:19,8721,Laura Adams,Engineering,Developer,25,2.96,7.12,Not Promoted,Medium,48
2024-11-19 15:06:20,7251,Stephanie Richard,HR,Manager,46,3.86,2.37,Promoted,High,55
2024-11-19 15:06:21,1556,Caroline Williams,Sales,Developer,22,2.43,8.06,Not Promoted,High,58
2024-11-19 15:06:22,1437,Brian James,Engineering,Consultant,37,4.13,2.24,Promoted,High,55
2024-11-19 15:06:23,2569,Douglas Harris,Marketing,Executive,26,1.11,5.99,Promoted,Low,55
2024-11-19 15:06:24,2295,Mrs. Lynn Sweeney,Engineering,Analyst,37,2.8,1.42,Promoted,High,32
2024-11-19 15:06:25,6047,Shawn Liu,Engineering,Developer,26,3.43,9.58,Promoted,High,45
2024-11-19 15:06:26,2870,Victoria Zimmerman,Marketing,Manager,51,2.63,7.53,Not Promoted,High,54
2024-11-19 15:06:27,9465,Alexis Moses,Marketing,Consultant,56,3.18,7.82,Promoted,Medium,42
2024-11-19 15:06:28,5097,Zachary Allen,HR,Analyst,23,1.36,8.27,Promoted,High,59
2024-11-19 15:06:29,8902,Steven Patterson,Engineering,Executive,57,4.02,9.22,Not Promoted,Low,43
2024-11-19 15:06:30,7772,Thomas White,Marketing,Consultant,51,2.21,6.81,Promoted,High,31
2024-11-19 15:06:31,3251,Ashley Simmons,HR,Developer,41,3.33,1.01,Promoted,High,46
2024-11-19 15:06:32,6595,Alexandra Garcia,Sales,Developer,58,1.65,4.44,Not Promoted,Medium,57
2024-11-19 15:06:33,2472,Mr. Riley Brown,Engineering,Manager,29,2.71,9.66,Not Promoted,Medium,49
2024-11-19 15:06:34,2187,Matthew Patterson,Operations,Analyst,33,3.87,1.79,Promoted,High,31
2024-11-19 15:06:35,6737,Latoya Schultz,Sales,Analyst,33,4.91,6.97,Not Promoted,Low,39
2024-11-19 15:06:36,8253,James Garcia,Engineering,Executive,54,1.75,3.5,Not Promoted,High,48
2024-11-19 15:06:37,6979,Brad Price,Operations,Developer,44,1.25,9.62,Not Promoted,High,49
2024-11-19 15:06:38,9347,Dana Stone,HR,Manager,45,4.19,8.9,Promoted,Medium,31
2024-11-19 15:06:39,8834,Gregory Fischer,Operations,Developer,28,2.44,5.76,Not Promoted,Medium,56
2024-11-19 15:06:40,4997,Julie Golden,Operations,Manager,46,2.67,9.87,Promoted,High,37
2024-11-19 15:06:41,3332,Donald Evans,Marketing,Analyst,58,4.64,5.32,Promoted,High,42
2024-11-19 15:06:42,4770,Joanna Castro,Engineering,Manager,24,4.79,8.35,Not Promoted,High,40
2024-11-19 15:06:43,6514,Ashley Key,Sales,Consultant,40,3.68,2.61,Promoted,High,49
2024-11-19 15:06:44,9645,Michael Smith,HR,Manager,52,1.67,9.44,Promoted,High,55
2024-11-19 15:06:45,4339,Zachary Kelley,Engineering,Consultant,33,4.03,5.93,Not Promoted,High,33
2024-11-19 15:06:46,5402,Jeremy Fernandez,Marketing,Consultant,47,3.24,4.29,Promoted,Medium,36
2024-11-19 15:06:47,9921,John Higgins,Engineering,Executive,53,3.86,1.77,Not Promoted,High,45
2024-11-19 15:06:48,2057,Jared Pittman,Engineering,Analyst,56,2.71,8.82,Not Promoted,Medium,32
2024-11-19 15:06:49,5799,Brad Collier,Sales,Manager,42,1.42,2.02,Promoted,High,41
2024-11-19 15:06:50,1352,Nicholas Smith,HR,Consultant,34,2.15,5.06,Promoted,Medium,54
2024-11-19 15:06:51,1136,Victoria Rangel,HR,Executive,49,4.62,7.02,Promoted,High,47
2024-11-19 15:06:52,8521,Jessica Hart,Engineering,Manager,41,2.8,5.94,Promoted,High,48
2024-11-19 15:06:53,5981,Melissa Foley,Sales,Developer,53,1.65,5.87,Not Promoted,High,53
2024-11-19 15:06:54,1197,Alexander Newman,Engineering,Consultant,39,2.76,3.91,Not Promoted,High,42
2024-11-19 15:06:55,5196,Dr. Katie Mason,Operations,Consultant,38,2.98,9.91,Not Promoted,Medium,42
2024-11-19 15:06:56,9898,Martha Walker,Engineering,Manager,39,2.09,3.17,Promoted,Low,51
2024-11-19 15:06:57,6512,James Blake,Sales,Consultant,32,2.86,6.97,Not Promoted,Medium,35
2024-11-19 15:06:58,4250,Charles Mitchell,HR,Manager,56,2.63,2.14,Not Promoted,High,52
2024-11-19 15:06:59,2569,Brian Chavez,Engineering,Consultant,49,3.72,7.74,Not Promoted,High,51
2024-11-19 15:07:00,5794,John Richardson,Operations,Analyst,48,2.35,7.44,Promoted,Low,52
2024-11-19 15:07:01,6560,Nicholas Webster,HR,Manager,35,4.95,1.33,Not Promoted,High,50
2024-11-19 15:07:02,3123,Caitlin Hughes,Marketing,Analyst,32,3.64,1.14,Not Promoted,High,53
2024-11-19 15:07:03,9918,Andrew Jackson,HR,Developer,47,2.68,3.78,Promoted,Medium,32
2024-11-19 15:07:04,1725,Justin Tran,HR,Developer,54,2.36,4.92,Promoted,High,30
2024-11-19 15:07:05,4701,Patricia Johnson,Operations,Consultant,46,4.95,2.85,Promoted,High,48
2024-11-19 15:07:06,8264,Gregory Rodriguez,Engineering,Executive,43,2.8,6.1,Not Promoted,Medium,41
2024-11-19 15:07:07,1666,Charles Davis,Sales,Analyst,30,1.33,4.07,Not Promoted,Medium,36
2024-11-19 15:07:08,2959,Ashley Pitts,Marketing,Executive,39,1.33,8.99,Promoted,Medium,57
2024-11-19 15:07:09,9513,Wendy Armstrong,Engineering,Analyst,32,2.42,8.49,Not Promoted,High,37
2024-11-19 15:07:10,2061,Rebecca Miller,Operations,Manager,54,2.98,1.96,Promoted,High,55
2024-11-19 15:07:11,3740,James Johnson,Operations,Manager,35,3.53,7.33,Not Promoted,Medium,30
2024-11-19 15:07:12,8459,Michael Calhoun,Operations,Analyst,39,2.61,5.02,Not Promoted,Low,43
2024-11-19 15:07:13,8780,Ryan Pratt DDS,Marketing,Developer,44,2.17,3.68,Not Promoted,Low,34
2024-11-19 15:07:14,1734,Edward White,Engineering,Developer,54,1.66,2.7,Promoted,High,42
2024-11-19 15:07:15,3423,Jesse Strong,Marketing,Developer,29,2.01,2.3,Promoted,High,30
2024-11-19 15:07:16,7140,Deanna Smith,Engineering,Manager,23,1.58,8.1,Promoted,High,35
2024-11-19 15:07:17,1421,Matthew Garcia,Engineering,Analyst,37,3.48,2.42,Promoted,High,35
2024-11-19 15:07:18,5946,Courtney Rush,Operations,Analyst,34,2.31,8.22,Promoted,Low,30
2024-11-19 15:07:19,4754,Sara Barnett,Engineering,Consultant,55,1.4,7.65,Promoted,Low,47
2024-11-19 15:07:20,3623,Carlos Taylor,Sales,Consultant,27,2.34,3.02,Promoted,High,36
2024-11-19 15:07:21,2021,Deanna Ramos,HR,Developer,40,3.55,2.63,Promoted,High,40
2024-11-19 15:07:22,5536,Casey Hamilton,Sales,Manager,22,2.88,1.97,Promoted,High,49
2024-11-19 15:07:23,7825,Lindsay Velez,HR,Manager,44,2.74,3.88,Not Promoted,Medium,52
2024-11-19 15:07:24,3993,Nicholas Robinson,Sales,Developer,44,4.05,7.67,Not Promoted,Medium,51
2024-11-19 15:07:25,8773,Christopher Martinez,Marketing,Developer,46,4.54,9.87,Promoted,Medium,42
2024-11-19 15:07:26,6288,Brian Oliver,Sales,Consultant,37,2.96,8.99,Not Promoted,Low,55
2024-11-19 15:07:27,1774,Sandra Sandoval,HR,Manager,42,3.35,6.05,Not Promoted,Low,39
2024-11-19 15:07:28,4805,Brenda Farmer,Engineering,Manager,56,1.05,8.41,Promoted,Low,48
2024-11-19 15:07:29,4421,Rhonda Meyer,Marketing,Analyst,34,2.34,1.79,Not Promoted,High,49
2024-11-19 15:07:30,7097,Richard Higgins,Marketing,Developer,49,1.21,9.84,Promoted,High,52
2024-11-19 15:07:31,1482,Joan Garcia,Operations,Manager,55,3.77,5.12,Not Promoted,High,37
2024-11-19 15:07:32,3454,Timothy Jackson,Operations,Consultant,33,3.08,6.64,Not Promoted,Medium,47
2024-11-19 15:07:33,1223,Jeffrey Martinez,Marketing,Analyst,42,1.26,3.95,Not Promoted,High,39
2024-11-19 15:07:34,4849,Michael Jones,Operations,Consultant,36,1.9,1.03,Not Promoted,High,52
2024-11-19 15:07:35,4501,Harold Riddle,Marketing,Developer,56,3.61,6.96,Not Promoted,Low,58
2024-11-19 15:07:36,3368,William Mendoza,Sales,Consultant,50,1.63,6.7,Promoted,Low,50
2024-11-19 15:07:37,5890,Bianca Anderson,Marketing,Consultant,29,1.84,7.91,Promoted,Medium,48
2024-11-19 15:07:38,4984,Jason Garza Jr.,Marketing,Manager,55,1.32,2.15,Promoted,High,39
2024-11-19 15:07:39,5655,Noah Henderson,Engineering,Executive,54,1.6,1.21,Promoted,High,52
2024-11-19 15:07:40,5624,Mrs. Ann Thompson,Sales,Executive,37,1.45,3.95,Not Promoted,High,51
2024-11-19 15:07:41,1950,James Smith,Marketing,Consultant,50,1.26,3.82,Promoted,High,46
2024-11-19 15:07:42,1593,Hunter Callahan,Operations,Analyst,29,2.53,3.15,Promoted,Low,39
2024-11-19 15:07:43,6790,Paul Lopez,Marketing,Analyst,43,3.99,1.35,Promoted,High,59
2024-11-19 15:07:44,1712,Dr. Holly Morales,HR,Executive,52,1.99,9.85,Not Promoted,Low,54
2024-11-19 15:07:45,7685,Kelly Wilcox,HR,Consultant,33,2.6,1.88,Promoted,High,43
2024-11-19 15:07:46,5419,Mark Salinas,Operations,Manager,59,2.79,2.86,Promoted,High,41
2024-11-19 15:07:47,8412,Ronald Le,Sales,Analyst,56,4.11,6.27,Not Promoted,Low,46
2024-11-19 15:07:48,3788,Melanie Barber,Marketing,Analyst,39,3.9,3.37,Promoted,High,36
2024-11-19 15:07:49,4323,Karen Gonzalez,Sales,Executive,53,1.27,3.32,Not Promoted,High,54
2024-11-19 15:07:50,3412,Valerie Schmidt,Sales,Manager,52,4.1,9.33,Promoted,Low,30
2024-11-19 15:07:51,5263,Julie Jones,HR,Manager,34,1.6,5.74,Not Promoted,Medium,51
2024-11-19 15:07:52,5161,Matthew Adams,Marketing,Executive,56,4.62,2.62,Promoted,High,44
2024-11-19 15:07:54,4074,Sarah Martinez,Marketing,Developer,33,4.44,8.7,Promoted,High,53
2024-11-19 15:07:55,1694,Maria Wallace,Marketing,Consultant,27,1.64,1.19,Promoted,High,43
2024-11-19 15:07:56,2432,Michael Webb,Engineering,Consultant,31,3.13,6.39,Not Promoted,High,55
2024-11-19 15:07:57,5763,Robin Martin,Sales,Analyst,31,2.98,7.98,Not Promoted,High,58
2024-11-19 15:07:58,7737,Mary Wilson,Marketing,Manager,29,2.96,7.49,Promoted,Medium,50
2024-11-19 15:07:59,7360,Molly Watson,Marketing,Analyst,22,3.13,7.43,Not Promoted,High,56
2024-11-19 15:08:00,3322,Jared Kelly,Engineering,Executive,23,1.35,4.25,Not Promoted,Medium,45
2024-11-19 15:08:01,5273,Danny Barnes,Marketing,Developer,46,2.01,1.46,Promoted,High,55
2024-11-19 15:08:02,7845,Erica Vasquez,HR,Executive,58,3.2,8.43,Not Promoted,Low,44
2024-11-19 15:08:03,8444,Paul Benson,Engineering,Consultant,45,2.72,9.49,Promoted,Low,36
2024-11-19 15:08:04,1564,Marvin Hunt,Operations,Consultant,55,3.77,9.8,Promoted,High,50
2024-11-19 15:08:05,9483,Garrett Brown,Marketing,Consultant,40,4.33,6.15,Promoted,High,56
2024-11-19 15:08:06,9086,John Copeland,Operations,Executive,39,1.19,8.51,Promoted,Low,34
2024-11-19 15:08:07,2173,Brooke Chan,Engineering,Consultant,44,1.34,2.79,Not Promoted,High,48
2024-11-19 15:08:08,7052,Holly Adams,Sales,Manager,31,1.78,1.74,Promoted,High,30
2024-11-19 15:08:09,9882,Wayne Howard,Sales,Manager,54,1.87,2.85,Not Promoted,High,48
2024-11-19 15:08:10,9163,Crystal Nunez,Marketing,Executive,60,2.82,7.55,Not Promoted,High,59
2024-11-19 15:08:11,6826,Steven Ramos,HR,Consultant,42,4.85,5.55,Promoted,High,40
2024-11-19 15:08:12,4295,Veronica Thomas,Sales,Analyst,27,4.0,5.44,Not Promoted,Medium,58
2024-11-19 15:08:13,2499,Ernest Le,Engineering,Consultant,44,4.73,5.74,Promoted,Medium,58
2024-11-19 15:08:14,9758,Courtney Smith,Sales,Developer,54,1.17,5.71,Promoted,High,44
2024-11-19 15:08:15,9967,Jacob Gonzalez,Operations,Developer,57,1.24,7.52,Promoted,High,59
2024-11-19 15:08:16,6294,Michael Ball,Sales,Consultant,46,1.71,6.91,Promoted,Low,35
2024-11-19 15:08:17,6938,Nancy Lawson,Engineering,Analyst,25,1.7,3.5,Promoted,Low,37
2024-11-19 15:08:18,2570,Diana Gilmore,Sales,Manager,57,3.78,8.45,Promoted,High,56
2024-11-19 15:08:19,5359,Devin Bell,Operations,Executive,38,2.41,8.42,Not Promoted,Low,59
2024-11-19 15:08:20,4463,Madeline Tapia,Engineering,Developer,27,1.06,3.59,Promoted,Low,42
2024-11-19 15:08:21,5810,Richard Torres,HR,Manager,53,1.04,9.38,Not Promoted,Medium,47
2024-11-19 15:08:22,5880,Cristian Garcia,Operations,Executive,51,3.12,5.41,Not Promoted,Medium,31
2024-11-19 15:08:23,5371,Stephanie Lozano,HR,Manager,33,2.36,5.46,Promoted,Low,31
2024-11-19 15:08:24,8765,Lisa Vasquez,Operations,Consultant,42,4.33,3.29,Not Promoted,Low,37
2024-11-19 15:08:25,1574,Jessica Washington,Marketing,Analyst,46,4.98,2.31,Promoted,High,43
2024-11-19 15:08:26,6402,Shannon Gentry,HR,Consultant,58,4.56,2.16,Not Promoted,High,32
2024-11-19 15:08:27,5429,Peter Dean,Engineering,Consultant,47,4.61,7.19,Promoted,High,42
2024-11-19 15:08:28,6232,Jonathan Butler,HR,Developer,55,4.94,6.11,Promoted,Low,43
2024-11-19 15:08:29,2208,Michelle Douglas,Sales,Analyst,29,2.51,7.86,Promoted,Medium,49
2024-11-19 15:08:30,1018,Andrew Houston,Engineering,Developer,53,1.22,8.78,Not Promoted,High,60
2024-11-19 15:08:31,1666,Heather Estrada,Engineering,Executive,35,4.64,2.43,Not Promoted,High,31
2024-11-19 15:08:32,5163,Kathleen Cox,Marketing,Executive,57,2.04,8.37,Promoted,High,36
2024-11-19 15:08:33,2396,Dana Moore,HR,Developer,39,3.79,3.48,Promoted,High,44
2024-11-19 15:08:34,8996,Carly Hutchinson,Sales,Analyst,59,1.67,5.96,Not Promoted,High,58
2024-11-19 15:08:35,9081,James Carroll,HR,Executive,59,4.73,2.94,Promoted,High,43
2024-11-19 15:08:36,8825,Bradley Williams,Marketing,Manager,48,4.13,1.09,Promoted,High,60
2024-11-19 15:08:37,4836,Jamie Rodriguez,Marketing,Executive,42,4.3,3.75,Not Promoted,Low,43
2024-11-19 15:08:38,2438,Richard Powell,Engineering,Consultant,27,2.26,5.66,Promoted,Medium,49
2024-11-19 15:08:39,1480,Carla Willis,Sales,Analyst,30,4.01,4.77,Not Promoted,Medium,43
2024-11-19 15:08:40,3619,Jennifer Leon,Sales,Executive,53,2.41,7.11,Not Promoted,Low,55
2024-11-19 15:08:41,6948,Dana Freeman,Marketing,Executive,53,3.58,7.39,Not Promoted,High,39
2024-11-19 15:08:42,7976,Teresa Kramer,Marketing,Executive,36,1.12,1.01,Not Promoted,High,36
2024-11-19 15:08:43,6943,Angel Nichols,Sales,Analyst,26,1.29,7.9,Not Promoted,Medium,56
2024-11-19 15:08:44,7455,Brendan Davis Jr.,Sales,Developer,28,3.65,7.47,Promoted,Medium,30
2024-11-19 15:08:45,8730,Stacy Hayes,Engineering,Manager,32,1.84,6.58,Promoted,High,34
2024-11-19 15:08:46,5643,John Rogers,Sales,Executive,30,3.85,7.97,Promoted,Low,35
